seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
879.0,53.1254997,-27.9216919,21.98,0.951,0.951,0.905,1.0,0.84,0.97,0.78,1.02,86.78,6440000000.0,1250000000.0
880.0,53.1225014,-27.9201565,24.98,0.592,-99.0,0.5920000000000001,-99.0,0.51,0.67,0.42,0.76,10.1,88300000.0,9650000.0
881.0,53.1802673,-27.9208565,23.33,2.063,-99.0,2.063,-99.0,1.99,2.13,1.9,2.22,50.45,10200000000.0,3040000000.0
882.0,53.1549225,-27.920103100000002,25.9,1.067,-99.0,1.067,-99.0,0.9,1.22,0.7,1.39,8.78,131000000.0,20400000.0
883.0,53.203506499999996,-27.9206924,23.17,0.4182,0.4182,0.433,1.0,0.38,0.49,0.28,0.54,39.64,251000000.0,39100000.0
884.0,53.2150803,-27.9200592,24.55,0.222,-99.0,0.222,-99.0,0.15,0.3,0.09,0.42,9.67,22500000.0,7040000.0
885.0,53.0876236,-27.920663800000003,23.95,1.757,-99.0,1.757,-99.0,1.64,1.87,1.54,1.98,28.47,3730000000.0,479000000.0
886.0,53.1557503,-27.9202976,24.95,1.983,-99.0,1.983,-99.0,1.87,2.12,1.74,2.46,21.32,1020000000.0,149000000.0
887.0,53.150546999999996,-27.920600899999997,23.87,2.641,-99.0,2.641,-99.0,2.58,2.71,2.53,2.81,36.33,15000000000.0,4750000000.0
888.0,53.1314812,-27.9214745,22.54,1.134,1.134,1.113,1.0,1.06,1.17,1.0,1.23,75.59,8080000000.0,781000000.0
889.0,53.14711,-27.920038199999997,25.28,0.32,0.332,0.32,2.0,0.29,0.35,0.25,2.63,17.39,18100000.0,4010000.0
890.0,53.1487808,-27.9203091,24.31,1.326,-99.0,1.3259999999999998,-99.0,1.25,1.4,1.18,1.47,37.59,1560000000.0,236000000.0
891.0,53.1259079,-27.9199543,25.61,2.983,-99.0,2.983,-99.0,2.89,3.06,2.76,3.13,10.81,677000000.0,249000000.0
892.0,53.1720848,-27.920530300000003,22.55,0.542,0.56,0.542,2.0,0.49,0.6,0.44,0.65,94.76,1700000000.0,154000000.0
893.0,53.1411095,-27.9199028,25.38,3.587,-99.0,3.5869999999999997,-99.0,3.41,3.77,3.27,3.94,11.19,3810000000.0,822000000.0
894.0,53.105583200000005,-27.9203072,24.36,1.042,-99.0,1.042,-99.0,0.99,1.1,0.92,1.15,28.62,886000000.0,196000000.0
895.0,53.2122841,-27.9199543,24.12,2.23,-99.0,2.23,-99.0,2.18,2.28,2.09,2.37,18.32,2670000000.0,552000000.0
896.0,53.139911700000006,-27.9201126,23.91,1.275,-99.0,1.275,-99.0,1.21,1.35,1.14,1.41,33.19,1190000000.0,215000000.0
897.0,53.1762123,-27.9197769,25.67,3.262,-99.0,3.262,-99.0,3.19,3.33,3.1,3.43,10.93,1310000000.0,515000000.0
898.0,53.18479920000001,-27.9204311,21.89,0.906,-99.0,0.9059999999999999,-99.0,0.85,0.96,0.79,1.01,107.47,5410000000.0,715000000.0
899.0,53.179927799999994,-27.9206848,22.05,2.122,2.122,2.319,1.0,2.19,2.46,2.02,4.04,82.66,94800000000.0,65800000000.0
900.0,53.132221200000004,-27.9198418,24.3,0.795,-99.0,0.795,-99.0,0.71,0.87,0.64,0.93,26.9,469000000.0,67700000.0
901.0,53.1201096,-27.9201145,23.12,0.588,-99.0,0.588,-99.0,0.54,0.64,0.49,0.69,51.88,1190000000.0,238000000.0
902.0,53.1539497,-27.9197445,24.81,1.285,-99.0,1.285,-99.0,1.21,1.36,1.13,1.44,22.59,536000000.0,108000000.0
903.0,53.135368299999996,-27.919611,26.05,0.437,-99.0,0.43700000000000006,-99.0,0.31,2.23,0.09,2.62,6.15,6810000.0,2490000.0
905.0,53.1473312,-27.9197979,24.43,2.708,-99.0,2.708,-99.0,2.64,2.78,2.57,2.86,29.68,3730000000.0,578000000.0
906.0,53.0829926,-27.9198952,22.77,0.488,0.5217,0.488,2.0,0.43,0.55,0.37,0.6,44.46,738000000.0,87200000.0
907.0,53.20148470000001,-27.919508,25.44,2.109,-99.0,2.109,-99.0,1.97,2.25,1.76,2.43,7.78,911000000.0,266000000.0
908.0,53.16085820000001,-27.9198723,24.5,3.421,3.3618,3.4210000000000003,3.0,3.36,3.48,3.3,3.55,18.2,2950000000.0,1440000000.0
909.0,53.1801605,-27.919446899999997,25.66,1.947,-99.0,1.9469999999999998,-99.0,1.81,2.09,1.59,2.34,10.32,259000000.0,93800000.0
910.0,53.17586899999999,-27.919431699999997,26.18,2.567,-99.0,2.5669999999999997,-99.0,2.38,2.71,0.31,2.88,6.49,588000000.0,115000000.0
911.0,53.1278,-27.9194489,25.67,1.586,-99.0,1.5859999999999999,-99.0,1.36,1.82,1.18,2.02,8.61,959000000.0,274000000.0
912.0,53.178771999999995,-27.919986699999995,22.73,1.293,1.3523,1.2930000000000001,2.0,1.23,1.36,1.17,1.42,81.83,3470000000.0,588000000.0
913.0,53.1152649,-27.919406899999995,25.55,2.614,-99.0,2.614,-99.0,0.35,2.68,0.17,2.77,12.85,464000000.0,124000000.0
